"time","temperature_2m_max_c","temperature_2m_min_c","temperature_2m_mean_c","indicator"
2016-01-01,6.2,0.1,2.8,"manhattan"
2016-01-02,4.1,-1.7,0.9,"manhattan"
2016-01-03,6.3,-1.2,1.6,"manhattan"
2016-01-04,-0.8,-8.6,-3,"manhattan"
2016-01-05,-1.5,-10.3,-6,"manhattan"
2016-01-06,3.4,-6.4,-2.7,"manhattan"
2016-01-07,5.4,-5,0,"manhattan"
2016-01-08,5.5,-1.7,1.9,"manhattan"
2016-01-09,7.7,1.9,5,"manhattan"
2016-01-10,13.7,3.4,9.7,"manhattan"
2016-01-11,2.3,-4,-0.4,"manhattan"
2016-01-12,5,-5.6,-1,"manhattan"
2016-01-13,-1.7,-4.9,-3.6,"manhattan"
2016-01-14,2.5,-5.7,-2,"manhattan"
2016-01-15,8.1,-0.3,3.5,"manhattan"
2016-01-16,9.8,2.4,5.1,"manhattan"
2016-01-17,3.1,-3.3,0.2,"manhattan"
2016-01-18,-2.3,-7.2,-4.3,"manhattan"
2016-01-19,-2.6,-8.6,-5.8,"manhattan"
2016-01-20,2.6,-4.3,-1.7,"manhattan"
2016-01-21,1.9,-4,-1.9,"manhattan"
2016-01-22,-1.3,-6.3,-3.6,"manhattan"
2016-01-23,-2.8,-4.3,-3.6,"manhattan"
2016-01-24,-2.4,-9,-6,"manhattan"
2016-01-25,-0.9,-8.7,-5.2,"manhattan"
2016-01-26,4.9,-5.4,-0.1,"manhattan"
2016-01-27,3.8,-4.8,0.8,"manhattan"
2016-01-28,2.3,-8.1,-3.6,"manhattan"
2016-01-29,3.5,-4.5,-1.1,"manhattan"
2016-01-30,1.4,-7.5,-2.5,"manhattan"
2016-01-31,6.3,-3.8,1,"manhattan"
2016-02-01,9,0.4,4.8,"manhattan"
2016-02-02,8.6,-3.1,1.3,"manhattan"
2016-02-03,12.3,-1.9,7.4,"manhattan"
2016-02-04,12,5.5,9.7,"manhattan"
2016-02-05,4.3,-4.8,0.6,"manhattan"
2016-02-06,2.6,-6,-1.1,"manhattan"
2016-02-07,6.4,-5.1,0.1,"manhattan"
2016-02-08,0.9,-3.2,-0.4,"manhattan"
2016-02-09,0.9,-3.8,-2,"manhattan"
2016-02-10,3.1,-2.9,-0.1,"manhattan"
2016-02-11,-3,-8.3,-5.1,"manhattan"
2016-02-12,-4.1,-13.1,-7.9,"manhattan"
2016-02-13,-7.6,-16.1,-10.8,"manhattan"
2016-02-14,-9.7,-19.2,-14,"manhattan"
2016-02-15,3.8,-10.8,-4.5,"manhattan"
2016-02-16,11.2,-0.2,7.4,"manhattan"
2016-02-17,5.8,-1.7,1.5,"manhattan"
2016-02-18,1.4,-4.5,-1.6,"manhattan"
2016-02-19,1.9,-5.9,-1.7,"manhattan"
2016-02-20,14.7,1.6,7.6,"manhattan"
2016-02-21,11.3,1.3,6.3,"manhattan"
2016-02-22,9.6,-1.1,3.4,"manhattan"
2016-02-23,4.6,-0.7,1.6,"manhattan"
2016-02-24,13.9,2,7.8,"manhattan"
2016-02-25,14.1,3,8.2,"manhattan"
2016-02-26,2.9,-2.8,0.5,"manhattan"
2016-02-27,4.2,-5,-0.3,"manhattan"
2016-02-28,13.9,0,6.1,"manhattan"
2016-02-29,13.5,5.7,8.9,"manhattan"
2016-03-01,8.8,1.2,5.2,"manhattan"
2016-03-02,11,-1.8,5.1,"manhattan"
2016-03-03,1.9,-3.6,-0.8,"manhattan"
2016-03-04,2.6,-1.8,0.1,"manhattan"
2016-03-05,3.5,-3.4,-0.1,"manhattan"
2016-03-06,5.6,-3.6,1.2,"manhattan"
2016-03-07,13.5,-2,5.4,"manhattan"
2016-03-08,16.1,2.4,8.2,"manhattan"
2016-03-09,22.8,3.7,13,"manhattan"
2016-03-10,23.7,11.1,16.9,"manhattan"
2016-03-11,16.5,6.2,12.6,"manhattan"
2016-03-12,14.9,2.1,8.2,"manhattan"
2016-03-13,14.7,6.2,10.3,"manhattan"
2016-03-14,8.1,5,6.1,"manhattan"
2016-03-15,11.9,5.9,8.1,"manhattan"
2016-03-16,16.5,5.5,10,"manhattan"
2016-03-17,15.4,3.9,9.7,"manhattan"
2016-03-18,12.9,4.6,8.6,"manhattan"
2016-03-19,7.4,-0.5,4.1,"manhattan"
2016-03-20,4.4,-0.6,1.8,"manhattan"
2016-03-21,8.9,0.1,3.8,"manhattan"
2016-03-22,12.2,-0.9,5.5,"manhattan"
2016-03-23,19.3,6.8,12.1,"manhattan"
2016-03-24,13.1,4.8,8.3,"manhattan"
2016-03-25,21.3,7.8,14.6,"manhattan"
2016-03-26,10.9,2.2,6.2,"manhattan"
2016-03-27,10.1,4,6.6,"manhattan"
2016-03-28,13.9,5.5,8.6,"manhattan"
2016-03-29,10.5,2.9,6.9,"manhattan"
2016-03-30,11.9,-1.2,5.8,"manhattan"
2016-03-31,20.8,6.2,13.8,"manhattan"
2016-04-01,23,13.8,17.4,"manhattan"
2016-04-02,12.7,7.9,10.7,"manhattan"
2016-04-03,7.8,0.2,3.3,"manhattan"
2016-04-04,10.7,-0.5,4.4,"manhattan"
2016-04-05,4.5,-3.7,0.3,"manhattan"
2016-04-06,7.9,-3.4,3.2,"manhattan"
2016-04-07,12.9,7.4,10.3,"manhattan"
2016-04-08,9,2.6,6.7,"manhattan"
2016-04-09,5.5,0.3,3,"manhattan"
2016-04-10,9,-1.3,4,"manhattan"
2016-04-11,15.9,4.1,9.4,"manhattan"
2016-04-12,12.8,4.8,10.1,"manhattan"
2016-04-13,11.7,0.8,6.6,"manhattan"
2016-04-14,13.9,2,7.7,"manhattan"
2016-04-15,15.2,1.6,8.9,"manhattan"
2016-04-16,16.8,2.4,9.4,"manhattan"
2016-04-17,20.5,2.5,11.2,"manhattan"
2016-04-18,23.9,5.9,15,"manhattan"
2016-04-19,19.6,9.5,14.2,"manhattan"
2016-04-20,17.7,6.5,11.5,"manhattan"
2016-04-21,21.3,5,13.7,"manhattan"
2016-04-22,25,11.6,18,"manhattan"
