"data_years","borough","zip_code","indicator","zip_code_rate","avg_temperature","pm2.5_level","acres_sum"
"2016-2018","Bronx","10471","ed_visits_rate",98.7,12.2718065693431,7.57333333333333,1130.23620635165
"2016-2018","Bronx","10459","ed_visits_rate",362.4,12.2718065693431,7.57333333333333,1130.23620635165
"2016-2018","Bronx","10469","ed_visits_rate",329.3,12.2718065693431,7.57333333333333,1130.23620635165
"2016-2018","Bronx","10466","ed_visits_rate",324.1,12.2718065693431,7.57333333333333,1130.23620635165
"2016-2018","Bronx","10467","ed_visits_rate",451.4,12.2718065693431,7.57333333333333,1130.23620635165
"2016-2018","Bronx","10468","ed_visits_rate",315.7,12.2718065693431,7.57333333333333,1130.23620635165
"2016-2018","Bronx","10453","ed_visits_rate",355,12.2718065693431,7.57333333333333,1130.23620635165
"2016-2018","Bronx","10474","ed_visits_rate",375.2,12.2718065693431,7.57333333333333,1130.23620635165
"2016-2018","Bronx","10454","ed_visits_rate",655.6,12.2718065693431,7.57333333333333,1130.23620635165
"2016-2018","Bronx","10458","ed_visits_rate",370.4,12.2718065693431,7.57333333333333,1130.23620635165
"2016-2018","Bronx","10465","ed_visits_rate",193.1,12.2718065693431,7.57333333333333,1130.23620635165
"2016-2018","Bronx","10460","ed_visits_rate",416.1,12.2718065693431,7.57333333333333,1130.23620635165
"2016-2018","Bronx","10472","ed_visits_rate",315.2,12.2718065693431,7.57333333333333,1130.23620635165
"2016-2018","Bronx","10452","ed_visits_rate",372.1,12.2718065693431,7.57333333333333,1130.23620635165
"2016-2018","Bronx","10464","ed_visits_rate",188.2,12.2718065693431,7.57333333333333,1130.23620635165
"2016-2018","Bronx","10462","ed_visits_rate",268.2,12.2718065693431,7.57333333333333,1130.23620635165
"2016-2018","Bronx","10455","ed_visits_rate",534.1,12.2718065693431,7.57333333333333,1130.23620635165
"2016-2018","Bronx","10457","ed_visits_rate",491.7,12.2718065693431,7.57333333333333,1130.23620635165
"2016-2018","Bronx","10473","ed_visits_rate",340.6,12.2718065693431,7.57333333333333,1130.23620635165
"2016-2018","Bronx","10456","ed_visits_rate",484.2,12.2718065693431,7.57333333333333,1130.23620635165
"2016-2018","Bronx","10475","ed_visits_rate",193.6,12.2718065693431,7.57333333333333,1130.23620635165
"2016-2018","Bronx","10470","ed_visits_rate",236.8,12.2718065693431,7.57333333333333,1130.23620635165
"2016-2018","Bronx","10451","ed_visits_rate",601.6,12.2718065693431,7.57333333333333,1130.23620635165
"2016-2018","Bronx","10461","ed_visits_rate",241.2,12.2718065693431,7.57333333333333,1130.23620635165
"2016-2018","Bronx","10463","ed_visits_rate",178.6,12.2718065693431,7.57333333333333,1130.23620635165
"2016-2018","Brooklyn","11238","ed_visits_rate",171.1,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11232","ed_visits_rate",105,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11235","ed_visits_rate",69.6,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11239","ed_visits_rate",318.3,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11236","ed_visits_rate",232.9,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11206","ed_visits_rate",284.7,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11230","ed_visits_rate",47.4,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11229","ed_visits_rate",62,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11237","ed_visits_rate",194.5,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11224","ed_visits_rate",243,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11216","ed_visits_rate",227.7,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11221","ed_visits_rate",272,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11234","ed_visits_rate",100.8,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11218","ed_visits_rate",61.5,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11213","ed_visits_rate",276.5,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11205","ed_visits_rate",154.6,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11217","ed_visits_rate",131.3,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11228","ed_visits_rate",40.2,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11233","ed_visits_rate",323,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11226","ed_visits_rate",234.7,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11225","ed_visits_rate",184.9,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11222","ed_visits_rate",74.5,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11231","ed_visits_rate",156,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11204","ed_visits_rate",34.6,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11209","ed_visits_rate",53.3,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11220","ed_visits_rate",84.1,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11223","ed_visits_rate",60.9,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11211","ed_visits_rate",66.2,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11207","ed_visits_rate",345.3,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11219","ed_visits_rate",39.5,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11215","ed_visits_rate",57,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11212","ed_visits_rate",428.1,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11214","ed_visits_rate",42.9,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11210","ed_visits_rate",116.6,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11201","ed_visits_rate",134.2,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11203","ed_visits_rate",305.9,12.4268248175182,7.49,1794.98568009171
"2016-2018","Brooklyn","11208","ed_visits_rate",267.4,12.4268248175182,7.49,1794.98568009171
"2016-2018","Manhattan","10033","ed_visits_rate",188.1,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10026","ed_visits_rate",416.6,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10035","ed_visits_rate",466.1,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10040","ed_visits_rate",188.2,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10044","ed_visits_rate",66.6,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10032","ed_visits_rate",259,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10038","ed_visits_rate",193.1,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10075","ed_visits_rate",23.5,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10027","ed_visits_rate",455.4,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10021","ed_visits_rate",24.9,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10022","ed_visits_rate",22.3,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10025","ed_visits_rate",203.4,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10037","ed_visits_rate",734.5,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10030","ed_visits_rate",610.6,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10023","ed_visits_rate",55.6,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10014","ed_visits_rate",50.5,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10019","ed_visits_rate",131.2,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10034","ed_visits_rate",182.8,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10036","ed_visits_rate",54.1,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10280","ed_visits_rate",35,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10128","ed_visits_rate",71.3,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10065","ed_visits_rate",28.8,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10031","ed_visits_rate",242.4,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10018","ed_visits_rate",188.7,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10012","ed_visits_rate",27.3,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10010","ed_visits_rate",88,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10011","ed_visits_rate",92.3,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10005","ed_visits_rate",71.9,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10001","ed_visits_rate",218.9,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10039","ed_visits_rate",511.1,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10002","ed_visits_rate",200.1,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10007","ed_visits_rate",27.7,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10009","ed_visits_rate",351.8,12.1598540145985,8.71666666666667,1715.28809893301
"2016-2018","Manhattan","10017","ed_visits_rate",54.2,12.1598540145985,8.71666666666667,1715.28809893301
