latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.808434,-73.89206,14.0,-18000,America/New_York,EST

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C)
2016-01-01,6.3,0.2,2.9
2016-01-02,4.3,-2.0,0.9
2016-01-03,6.5,-1.6,1.5
2016-01-04,-0.6,-8.4,-2.9
2016-01-05,-1.5,-10.1,-5.8
2016-01-06,3.4,-6.5,-2.7
2016-01-07,5.5,-4.8,0.5
2016-01-08,5.8,-1.6,2.1
2016-01-09,8.2,2.1,5.4
2016-01-10,13.7,3.6,9.9
2016-01-11,2.5,-4.2,-0.2
2016-01-12,5.3,-5.6,-0.7
2016-01-13,-1.4,-4.7,-3.3
2016-01-14,2.6,-5.6,-1.7
2016-01-15,8.4,0.2,3.9
2016-01-16,9.9,2.7,5.4
2016-01-17,3.3,-3.0,0.3
2016-01-18,-2.3,-6.9,-4.1
2016-01-19,-2.4,-8.3,-5.6
2016-01-20,2.7,-4.2,-1.6
2016-01-21,2.1,-4.0,-1.9
2016-01-22,-1.2,-6.6,-3.5
2016-01-23,-2.6,-4.1,-3.3
2016-01-24,-3.3,-9.3,-6.4
2016-01-25,-0.5,-8.3,-4.6
2016-01-26,4.6,-5.5,-0.2
2016-01-27,3.5,-4.7,0.7
2016-01-28,2.0,-7.5,-3.2
2016-01-29,3.5,-3.8,-0.8
2016-01-30,1.3,-7.2,-2.4
2016-01-31,5.9,-3.7,0.7
2016-02-01,8.5,0.1,4.3
2016-02-02,8.6,-2.5,1.6
2016-02-03,12.4,-1.6,7.4
2016-02-04,12.0,5.6,9.9
2016-02-05,4.4,-5.6,0.6
2016-02-06,2.5,-5.7,-1.1
2016-02-07,6.2,-5.0,0.2
2016-02-08,1.1,-3.2,-0.4
2016-02-09,0.8,-3.8,-1.9
2016-02-10,3.2,-3.2,-0.1
2016-02-11,-3.1,-8.3,-5.0
2016-02-12,-4.1,-13.2,-7.9
2016-02-13,-7.4,-16.2,-10.8
2016-02-14,-9.6,-19.3,-14.0
2016-02-15,4.5,-10.8,-4.2
2016-02-16,11.4,0.2,7.6
2016-02-17,6.2,-1.8,1.6
2016-02-18,1.5,-4.6,-1.6
2016-02-19,1.9,-6.1,-1.7
2016-02-20,14.8,2.1,7.8
2016-02-21,11.3,0.9,6.4
2016-02-22,9.7,-1.0,3.5
2016-02-23,5.0,-0.7,1.8
2016-02-24,13.8,2.3,8.0
2016-02-25,14.0,3.2,8.4
2016-02-26,3.2,-2.8,0.7
2016-02-27,4.3,-5.0,-0.3
2016-02-28,14.0,-0.1,6.1
2016-02-29,13.5,5.6,8.9
2016-03-01,8.7,0.8,5.2
2016-03-02,10.9,-1.8,5.3
2016-03-03,2.0,-4.0,-0.8
2016-03-04,2.8,-1.8,0.2
2016-03-05,3.5,-3.9,-0.2
2016-03-06,5.7,-3.4,1.4
2016-03-07,13.5,-2.0,5.5
2016-03-08,15.3,2.4,8.0
2016-03-09,22.4,3.8,12.7
2016-03-10,23.9,10.8,16.9
2016-03-11,16.6,6.0,12.7
2016-03-12,14.4,2.3,8.1
2016-03-13,15.0,5.5,10.2
2016-03-14,8.2,5.3,6.3
2016-03-15,11.9,5.9,8.3
2016-03-16,16.3,5.7,9.9
2016-03-17,15.7,4.2,9.8
2016-03-18,13.0,4.6,8.6
2016-03-19,7.4,0.2,4.1
2016-03-20,4.5,-0.5,1.9
2016-03-21,9.1,0.3,3.9
2016-03-22,12.2,-1.1,5.5
2016-03-23,19.5,6.9,12.2
2016-03-24,13.0,4.9,8.3
2016-03-25,21.2,8.0,14.7
2016-03-26,10.8,2.1,6.3
2016-03-27,10.0,4.1,6.6
2016-03-28,13.9,5.8,8.8
2016-03-29,10.7,2.9,7.0
2016-03-30,11.6,-0.7,5.7
2016-03-31,20.8,6.2,13.8
2016-04-01,22.8,13.8,17.2
2016-04-02,12.8,7.9,10.6
2016-04-03,7.8,-0.0,3.5
2016-04-04,10.9,-0.3,4.5
2016-04-05,4.6,-3.5,0.4
2016-04-06,7.8,-3.3,3.2
2016-04-07,13.2,7.7,10.5
2016-04-08,9.3,2.4,6.8
2016-04-09,5.8,0.2,3.2
2016-04-10,9.0,-1.4,4.1
2016-04-11,15.6,4.2,9.6
2016-04-12,12.7,4.5,10.2
2016-04-13,11.7,0.3,6.5
2016-04-14,13.9,1.6,7.8
2016-04-15,15.2,2.3,9.1
2016-04-16,16.9,2.1,9.4
2016-04-17,20.2,2.9,11.1
2016-04-18,23.9,5.5,14.9
2016-04-19,19.6,9.1,14.1
2016-04-20,17.6,5.7,11.3
2016-04-21,21.2,4.7,13.6
2016-04-22,25.1,11.4,18.2
2016-04-23,19.7,10.8,15.9
2016-04-24,17.9,6.7,11.9
2016-04-25,19.0,7.6,13.1
2016-04-26,21.9,8.6,12.9
2016-04-27,14.4,7.6,10.7
2016-04-28,13.3,5.6,9.1
2016-04-29,12.2,7.5,9.3
2016-04-30,15.7,7.0,10.4
2016-05-01,9.6,8.2,8.9
2016-05-02,14.4,7.8,11.1
2016-05-03,11.9,9.9,11.0
2016-05-04,10.8,8.2,9.5
2016-05-05,12.5,7.7,9.8
2016-05-06,11.5,8.6,9.8
2016-05-07,14.1,9.1,11.0
2016-05-08,17.2,7.4,11.8
2016-05-09,21.1,6.2,13.5
2016-05-10,16.9,5.9,11.7
2016-05-11,21.6,7.7,14.9
2016-05-12,23.2,9.4,16.0
2016-05-13,17.4,10.5,14.6
2016-05-14,20.8,10.5,15.9
2016-05-15,13.5,7.7,11.2
2016-05-16,18.0,5.1,10.9
2016-05-17,18.0,9.1,12.6
2016-05-18,18.4,8.5,13.2
2016-05-19,20.0,10.9,14.7
2016-05-20,23.1,8.9,16.3
2016-05-21,16.1,11.6,14.2
2016-05-22,19.9,11.1,14.7
2016-05-23,22.9,10.3,16.6
2016-05-24,22.1,14.0,16.7
2016-05-25,30.1,11.3,21.4
2016-05-26,30.5,15.3,23.1
2016-05-27,29.6,17.7,23.4
2016-05-28,31.2,19.8,25.2
2016-05-29,30.0,20.1,23.9
2016-05-30,26.9,19.2,22.3
2016-05-31,28.5,19.6,23.5
2016-06-01,27.0,16.6,21.7
2016-06-02,23.3,15.3,18.9
2016-06-03,20.0,16.9,18.1
2016-06-04,26.5,17.9,21.6
2016-06-05,21.7,18.1,19.9
2016-06-06,27.8,18.1,23.0
2016-06-07,28.4,18.5,23.2
2016-06-08,20.5,13.1,16.2
2016-06-09,21.7,11.9,16.5
2016-06-10,24.0,12.3,17.8
2016-06-11,30.1,13.3,22.1
2016-06-12,26.5,15.6,22.7
2016-06-13,24.1,13.8,18.4
2016-06-14,26.5,13.5,20.0
2016-06-15,29.3,14.5,22.5
2016-06-16,24.7,18.6,21.6
2016-06-17,24.9,15.4,20.7
2016-06-18,29.4,14.1,21.9
2016-06-19,30.3,16.8,22.5
2016-06-20,29.3,16.6,23.3
2016-06-21,31.4,20.8,25.9
2016-06-22,30.4,18.5,24.3
2016-06-23,27.8,18.4,23.4
2016-06-24,27.5,18.0,22.8
2016-06-25,28.5,17.0,22.4
2016-06-26,30.1,17.8,23.2
2016-06-27,28.4,16.7,22.7
2016-06-28,23.9,20.4,21.6
2016-06-29,28.1,20.2,23.6
2016-06-30,28.9,18.0,23.5
2016-07-01,26.4,19.2,23.0
2016-07-02,25.6,18.2,21.8
2016-07-03,27.7,15.9,22.2
2016-07-04,28.4,17.0,22.8
2016-07-05,30.0,20.2,24.6
2016-07-06,32.5,21.1,27.4
2016-07-07,32.5,23.0,27.8
2016-07-08,30.2,20.1,24.8
2016-07-09,23.0,19.3,20.7
2016-07-10,26.8,19.4,22.9
2016-07-11,25.5,17.8,21.7
2016-07-12,26.8,17.2,22.3
2016-07-13,28.6,19.6,24.0
2016-07-14,31.0,22.5,25.9
2016-07-15,32.0,23.2,27.6
2016-07-16,31.3,21.9,26.0
2016-07-17,31.6,22.4,26.9
2016-07-18,34.0,22.9,27.4
2016-07-19,28.3,19.8,24.7
2016-07-20,28.4,17.6,23.3
2016-07-21,31.4,19.4,25.6
2016-07-22,35.2,21.9,28.5
2016-07-23,34.8,24.2,29.6
2016-07-24,33.4,20.4,27.3
2016-07-25,33.8,23.4,27.0
2016-07-26,32.9,22.3,27.6
2016-07-27,31.9,20.6,26.7
2016-07-28,32.8,23.1,27.7
2016-07-29,29.1,21.8,25.0
2016-07-30,28.2,22.1,24.4
2016-07-31,24.8,22.3,23.2
2016-08-01,25.0,21.1,22.7
2016-08-02,23.9,19.8,21.8
2016-08-03,25.1,16.8,21.4
2016-08-04,26.4,18.5,22.3
2016-08-05,27.1,17.9,22.9
2016-08-06,30.1,21.4,25.2
2016-08-07,30.0,19.7,24.9
2016-08-08,29.9,18.5,24.3
2016-08-09,29.7,20.6,25.1
2016-08-10,29.4,22.8,25.5
2016-08-11,31.7,24.4,27.1
2016-08-12,34.1,24.7,28.5
2016-08-13,33.6,25.8,29.1
2016-08-14,33.8,25.9,29.3
2016-08-15,32.0,25.0,28.1
2016-08-16,29.0,25.0,26.7
2016-08-17,29.6,24.7,26.8
2016-08-18,29.2,23.0,25.7
2016-08-19,28.7,23.1,25.8
2016-08-20,28.2,23.4,25.4
2016-08-21,29.0,22.0,24.9
2016-08-22,25.6,17.5,22.0
2016-08-23,26.8,15.6,21.6
2016-08-24,29.4,17.4,23.8
2016-08-25,29.4,18.9,24.4
2016-08-26,32.1,23.1,26.9
2016-08-27,30.1,20.2,25.0
2016-08-28,30.0,20.3,24.7
2016-08-29,32.1,21.9,26.4
2016-08-30,28.5,19.1,23.9
2016-08-31,29.9,21.9,25.5
2016-09-01,25.8,21.0,23.5
2016-09-02,26.2,18.8,22.1
2016-09-03,23.2,18.1,20.3
2016-09-04,25.9,16.8,20.8
2016-09-05,28.2,17.2,21.6
2016-09-06,26.6,20.8,23.1
2016-09-07,27.6,20.8,23.8
2016-09-08,29.9,19.6,24.8
2016-09-09,31.9,23.8,27.6
2016-09-10,31.9,23.2,26.4
2016-09-11,27.1,19.4,24.5
2016-09-12,24.4,14.3,19.7
2016-09-13,27.7,15.5,20.9
2016-09-14,31.9,18.9,24.7
2016-09-15,22.7,16.1,19.4
2016-09-16,22.2,14.8,18.4
2016-09-17,25.1,14.2,20.1
2016-09-18,28.4,19.7,23.5
2016-09-19,22.3,20.7,21.6
2016-09-20,26.7,20.4,22.8
2016-09-21,27.5,18.4,22.6
2016-09-22,27.4,16.4,21.4
2016-09-23,29.5,16.2,22.5
2016-09-24,20.9,13.5,17.3
2016-09-25,20.1,10.4,15.4
2016-09-26,21.2,10.7,16.9
2016-09-27,22.7,16.4,18.9
2016-09-28,21.5,12.9,16.9
2016-09-29,18.4,14.5,16.0
2016-09-30,15.2,13.6,14.4
2016-10-01,17.2,13.9,15.3
2016-10-02,17.0,14.4,15.8
2016-10-03,22.1,14.9,18.0
2016-10-04,19.4,14.7,16.8
2016-10-05,18.8,11.3,15.1
2016-10-06,21.6,11.3,15.8
2016-10-07,22.2,11.4,15.9
2016-10-08,20.3,13.0,16.9
2016-10-09,16.8,11.6,13.4
2016-10-10,16.5,8.1,11.6
2016-10-11,16.0,5.9,11.2
2016-10-12,17.7,10.7,14.3
2016-10-13,19.9,10.9,14.9
2016-10-14,16.3,8.3,11.8
2016-10-15,17.2,6.0,11.6
2016-10-16,21.2,8.2,14.6
2016-10-17,25.8,15.1,19.4
2016-10-18,26.6,15.4,20.5
2016-10-19,28.1,16.2,21.9
2016-10-20,20.8,14.0,17.7
2016-10-21,20.7,17.7,19.3
2016-10-22,16.9,8.2,10.1
2016-10-23,15.8,7.3,11.2
2016-10-24,15.8,8.4,11.7
2016-10-25,11.3,5.3,8.3
2016-10-26,10.1,2.6,6.0
2016-10-27,13.5,5.5,8.4
2016-10-28,13.3,4.9,8.1
2016-10-29,16.8,2.6,10.0
2016-10-30,22.5,11.0,16.4
2016-10-31,11.9,4.8,8.8
2016-11-01,13.9,3.5,9.1
