latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.667835,-73.93768,19,-18000,America/New_York,EST
,,,,,
time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,,
1/01/2016,6.1,0.8,3.5,,
2/01/2016,4.2,-0.6,1.5,,
3/01/2016,6.6,0.3,2.7,,
4/01/2016,0.5,-8.1,-2.3,,
5/01/2016,-1.6,-9.7,-5.8,,
6/01/2016,3.3,-5.2,-1.7,,
7/01/2016,5.5,-4.3,0.7,,
8/01/2016,6.4,-0.2,3.1,,
9/01/2016,9.1,3.3,6.5,,
10/01/2016,13.8,3.8,10.6,,
11/01/2016,2.8,-2.8,0,,
12/01/2016,5.9,-4.9,0.1,,
13/01/2016,-1.5,-4.5,-3.3,,
14/01/2016,2.6,-5.3,-1.5,,
15/01/2016,8.9,0.3,4.6,,
16/01/2016,9.9,3.7,5.9,,
17/01/2016,4,-1.6,0.8,,
18/01/2016,-1.8,-6.8,-3.9,,
19/01/2016,-2.3,-8.2,-5.5,,
20/01/2016,2.6,-3.9,-1.3,,
21/01/2016,2.1,-3.7,-1.5,,
22/01/2016,-1.2,-5.7,-3.2,,
23/01/2016,-2.1,-3.8,-2.7,,
24/01/2016,-2.2,-8,-5.1,,
25/01/2016,-1,-8.5,-4.9,,
26/01/2016,5.2,-1.8,2.5,,
27/01/2016,3.7,-3.3,1.4,,
28/01/2016,2.3,-6.9,-2.6,,
29/01/2016,3.3,-6.7,-1,,
30/01/2016,1.1,-7.1,-2,,
31/01/2016,6,-0.9,2.4,,
1/02/2016,10.3,2.3,5.8,,
2/02/2016,8.6,-3.6,2.1,,
3/02/2016,12.6,1.2,9.1,,
4/02/2016,12.1,5.8,10.1,,
5/02/2016,4.5,-3,0.9,,
6/02/2016,2.3,-5.4,-1.4,,
7/02/2016,3.9,-4.4,0.5,,
8/02/2016,1.6,-3.2,-0.4,,
9/02/2016,0.5,-3.6,-1.9,,
10/02/2016,3.2,-2.3,0.3,,
11/02/2016,-2.4,-7.7,-4.7,,
12/02/2016,-4.4,-10.1,-7,,
13/02/2016,-6.6,-15.5,-9.6,,
14/02/2016,-9.7,-18.5,-13.9,,
15/02/2016,6.3,-10.3,-3.1,,
16/02/2016,11.8,0.8,8.4,,
17/02/2016,6.3,-0.8,1.9,,
18/02/2016,1.5,-3.6,-1.1,,
19/02/2016,2.5,-5.6,-1.1,,
20/02/2016,14.5,3.1,8.2,,
21/02/2016,11.1,3,7.1,,
22/02/2016,9.2,-0.2,3.8,,
23/02/2016,5.4,0.5,2.6,,
24/02/2016,13.7,3.1,8.7,,
25/02/2016,13.8,3.4,8.5,,
26/02/2016,3.2,-2.4,0.9,,
27/02/2016,4.3,-3.5,0.2,,
28/02/2016,13.7,0.8,6.3,,
29/02/2016,13.6,6.2,9.4,,
1/03/2016,9.5,2.3,5.7,,
2/03/2016,11.3,-1.5,5.6,,
3/03/2016,1.9,-3.1,-0.5,,
4/03/2016,2.4,-1.3,0.4,,
5/03/2016,3.2,-2.5,0.2,,
6/03/2016,5.4,-3.2,1.7,,
7/03/2016,13.2,0.2,6.2,,
8/03/2016,13.4,3.4,8,,
9/03/2016,20.8,4.2,12.3,,
