latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.808434,-74.0199,40,-18000,America/New_York,EST
,,,,,
time,temperature_2m_max ,temperature_2m_min,temperature_2m_mean,,
1/01/2016,6.2,0.1,2.8,,
2/01/2016,4.1,-1.7,0.9,,
3/01/2016,6.3,-1.2,1.6,,
4/01/2016,-0.8,-8.6,-3,,
5/01/2016,-1.5,-10.3,-6,,
6/01/2016,3.4,-6.4,-2.7,,
7/01/2016,5.4,-5,0,,
8/01/2016,5.5,-1.7,1.9,,
9/01/2016,7.7,1.9,5,,
10/01/2016,13.7,3.4,9.7,,
11/01/2016,2.3,-4,-0.4,,
12/01/2016,5,-5.6,-1,,
13/01/2016,-1.7,-4.9,-3.6,,
14/01/2016,2.5,-5.7,-2,,
15/01/2016,8.1,-0.3,3.5,,
16/01/2016,9.8,2.4,5.1,,
17/01/2016,3.1,-3.3,0.2,,
18/01/2016,-2.3,-7.2,-4.3,,
19/01/2016,-2.6,-8.6,-5.8,,
20/01/2016,2.6,-4.3,-1.7,,
21/01/2016,1.9,-4,-1.9,,
22/01/2016,-1.3,-6.3,-3.6,,
23/01/2016,-2.8,-4.3,-3.6,,
24/01/2016,-2.4,-9,-6,,
25/01/2016,-0.9,-8.7,-5.2,,
26/01/2016,4.9,-5.4,-0.1,,
27/01/2016,3.8,-4.8,0.8,,
28/01/2016,2.3,-8.1,-3.6,,
29/01/2016,3.5,-4.5,-1.1,,
30/01/2016,1.4,-7.5,-2.5,,
31/01/2016,6.3,-3.8,1,,
1/02/2016,9,0.4,4.8,,
2/02/2016,8.6,-3.1,1.3,,
3/02/2016,12.3,-1.9,7.4,,
4/02/2016,12,5.5,9.7,,
5/02/2016,4.3,-4.8,0.6,,
6/02/2016,2.6,-6,-1.1,,
7/02/2016,6.4,-5.1,0.1,,
8/02/2016,0.9,-3.2,-0.4,,
9/02/2016,0.9,-3.8,-2,,
10/02/2016,3.1,-2.9,-0.1,,
11/02/2016,-3,-8.3,-5.1,,
12/02/2016,-4.1,-13.1,-7.9,,
13/02/2016,-7.6,-16.1,-10.8,,
14/02/2016,-9.7,-19.2,-14,,
15/02/2016,3.8,-10.8,-4.5,,
16/02/2016,11.2,-0.2,7.4,,
17/02/2016,5.8,-1.7,1.5,,
18/02/2016,1.4,-4.5,-1.6,,
19/02/2016,1.9,-5.9,-1.7,,
20/02/2016,14.7,1.6,7.6,,
21/02/2016,11.3,1.3,6.3,,
22/02/2016,9.6,-1.1,3.4,,
23/02/2016,4.6,-0.7,1.6,,
24/02/2016,13.9,2,7.8,,
25/02/2016,14.1,3,8.2,,
26/02/2016,2.9,-2.8,0.5,,
27/02/2016,4.2,-5,-0.3,,
28/02/2016,13.9,0,6.1,,
29/02/2016,13.5,5.7,8.9,,
1/03/2016,8.8,1.2,5.2,,
2/03/2016,11,-1.8,5.1,,
3/03/2016,1.9,-3.6,-0.8,,
4/03/2016,2.6,-1.8,0.1,,
5/03/2016,3.5,-3.4,-0.1,,
6/03/2016,5.6,-3.6,1.2,,
7/03/2016,13.5,-2,5.4,,
8/03/2016,16.1,2.4,8.2,,
9/03/2016,22.8,3.7,13,,
10/03/2016,23.7,11.1,16.9,,
11/03/2016,16.5,6.2,12.6,,
12/03/2016,14.9,2.1,8.2,,
13/03/2016,14.7,6.2,10.3,,
14/03/2016,8.1,5,6.1,,
15/03/2016,11.9,5.9,8.1,,
16/03/2016,16.5,5.5,10,,
17/03/2016,15.4,3.9,9.7,,
18/03/2016,12.9,4.6,8.6,,
19/03/2016,7.4,-0.5,4.1,,
20/03/2016,4.4,-0.6,1.8,,
21/03/2016,8.9,0.1,3.8,,
22/03/2016,12.2,-0.9,5.5,,
23/03/2016,19.3,6.8,12.1,,
24/03/2016,13.1,4.8,8.3,,
25/03/2016,21.3,7.8,14.6,,
26/03/2016,10.9,2.2,6.2,,
27/03/2016,10.1,4,6.6,,
28/03/2016,13.9,5.5,8.6,,
29/03/2016,10.5,2.9,6.9,,
30/03/2016,11.9,-1.2,5.8,,
31/03/2016,20.8,6.2,13.8,,
1/04/2016,23,13.8,17.4,,
2/04/2016,12.7,7.9,10.7,,
3/04/2016,7.8,0.2,3.3,,
4/04/2016,10.7,-0.5,4.4,,
5/04/2016,4.5,-3.7,0.3,,
6/04/2016,7.9,-3.4,3.2,,
7/04/2016,12.9,7.4,10.3,,
8/04/2016,9,2.6,6.7,,
9/04/2016,5.5,0.3,3,,
10/04/2016,9,-1.3,4,,
11/04/2016,15.9,4.1,9.4,,
12/04/2016,12.8,4.8,10.1,,
13/04/2016,11.7,0.8,6.6,,
14/04/2016,13.9,2,7.7,,
15/04/2016,15.2,1.6,8.9,,
16/04/2016,16.8,2.4,9.4,,
17/04/2016,20.5,2.5,11.2,,
18/04/2016,23.9,5.9,15,,
19/04/2016,19.6,9.5,14.2,,
20/04/2016,17.7,6.5,11.5,,
21/04/2016,21.3,5,13.7,,
22/04/2016,25,11.6,18,,
23/04/2016,19.7,10.7,15.8,,
24/04/2016,18,6.9,12.1,,
25/04/2016,19.2,7.2,13.1,,
26/04/2016,22.6,8.5,13.2,,
27/04/2016,14.6,7.6,10.7,,
28/04/2016,13.3,6,9.2,,
29/04/2016,12,7.3,9.2,,
30/04/2016,15.6,6.9,10.4,,
1/05/2016,9.4,8.3,8.7,,
2/05/2016,14.4,7.5,10.9,,
3/05/2016,11.8,9.8,10.9,,
4/05/2016,10.6,8.1,9.4,,
5/05/2016,12.4,7.6,9.7,,
6/05/2016,11.2,8.5,9.7,,
7/05/2016,13.8,8.9,10.9,,
8/05/2016,17,7.7,11.7,,
9/05/2016,20.9,6.5,13.4,,
10/05/2016,16.7,5.7,11.6,,
11/05/2016,21.7,6.8,14.8,,
12/05/2016,23.4,8.6,15.9,,
13/05/2016,17.3,10.8,14.7,,
14/05/2016,21,10.7,16.1,,
15/05/2016,13.3,7.5,11,,
16/05/2016,17.9,4.9,10.7,,
17/05/2016,17.8,9.2,12.5,,
18/05/2016,18.4,8.6,13.2,,
19/05/2016,20.3,11,14.8,,
20/05/2016,23.1,9.1,16.4,,
21/05/2016,16,11.7,14.1,,
22/05/2016,19.7,11,14.6,,
23/05/2016,23,9.6,16.6,,
24/05/2016,22.4,14,16.8,,
25/05/2016,29.9,11.5,21.4,,
26/05/2016,30.5,15.6,23.4,,
27/05/2016,29.8,17.8,23.6,,
28/05/2016,31.3,19.9,25.4,,
29/05/2016,30.2,20.3,24.2,,
30/05/2016,27.1,19.5,22.5,,
31/05/2016,28.7,19.9,23.7,,
1/06/2016,27.1,16.7,21.8,,
2/06/2016,23.7,15.3,19,,
3/06/2016,20,16.9,18.1,,
4/06/2016,26.6,18,21.7,,
5/06/2016,21.6,18.1,19.9,,
6/06/2016,27.6,17.9,22.8,,
7/06/2016,28.1,18.3,23,,
8/06/2016,20.1,12.9,16,,
9/06/2016,21.6,11.9,16.4,,
10/06/2016,23.8,12.4,17.7,,
11/06/2016,30,12.6,21.8,,
12/06/2016,26.3,15.4,22.5,,
13/06/2016,23.8,13.7,18.2,,
14/06/2016,26.2,13.5,19.8,,
15/06/2016,29.2,13.6,22.4,,
16/06/2016,24.6,18.6,21.5,,
17/06/2016,24.9,15.4,20.6,,
18/06/2016,29.3,13.3,21.8,,
19/06/2016,30.6,16.9,22.7,,
20/06/2016,29.7,16.4,23.4,,
21/06/2016,31.1,20.6,25.7,,
22/06/2016,29.8,18.3,24,,
23/06/2016,27.6,18.1,23.2,,
24/06/2016,27.3,18,22.5,,
25/06/2016,28.4,17.1,22.3,,
26/06/2016,30.1,17.2,23.1,,
27/06/2016,28.6,17,22.8,,
28/06/2016,23.7,20.3,21.5,,
29/06/2016,27.9,19.9,23.4,,
30/06/2016,28.7,18.2,23.5,,
1/07/2016,26.4,19.1,22.8,,
2/07/2016,25.3,18,21.5,,
3/07/2016,27.5,15.8,22.1,,
4/07/2016,28.3,17.1,22.7,,
5/07/2016,29.8,20,24.5,,
6/07/2016,32.5,20.7,27.3,,
7/07/2016,32.4,22.9,27.7,,
8/07/2016,30.3,20,24.6,,
9/07/2016,22.8,19.2,20.5,,
10/07/2016,26.7,19.3,22.7,,
11/07/2016,25.3,17.7,21.6,,
12/07/2016,27,17.4,22.4,,
13/07/2016,28.5,19.6,23.9,,
14/07/2016,30.8,22.3,25.7,,
15/07/2016,31.6,23,27.4,,
16/07/2016,31.1,21.9,25.7,,
17/07/2016,31.5,22.1,26.6,,
18/07/2016,33.8,22.8,27.1,,
19/07/2016,28,19.5,24.3,,
20/07/2016,28.2,17.7,23.2,,
21/07/2016,31.2,19.4,25.5,,
22/07/2016,34.8,21.8,28.2,,
23/07/2016,34.3,24.1,29.1,,
24/07/2016,33.5,20.2,27.1,,
25/07/2016,34,23.3,26.9,,
26/07/2016,32.6,22.2,27.3,,
27/07/2016,31.7,20.7,26.5,,
28/07/2016,32.5,23.1,27.5,,
29/07/2016,29.1,21.6,24.9,,
30/07/2016,28,22,24.1,,
31/07/2016,24.6,22.1,23,,
1/08/2016,24.9,20.9,22.5,,
2/08/2016,23.9,19.8,21.7,,
3/08/2016,25,16.9,21.2,,
4/08/2016,26.4,17.6,22.1,,
5/08/2016,27.1,18,22.9,,
6/08/2016,30.1,21.4,25,,
7/08/2016,29.9,19.9,24.7,,
8/08/2016,29.7,18.5,24.2,,
9/08/2016,29.5,19.9,24.6,,
10/08/2016,29.2,22.7,25.3,,
11/08/2016,31.6,24.2,26.8,,
12/08/2016,33.9,24.5,28.3,,
13/08/2016,33.5,25.7,28.9,,
14/08/2016,33.4,25.6,29,,
15/08/2016,31.8,24.7,27.9,,
16/08/2016,28.8,24.7,26.4,,
17/08/2016,29.4,24.4,26.6,,
18/08/2016,28.9,22.8,25.4,,
19/08/2016,28.5,22.9,25.5,,
