latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.738136,-73.78723,34,-18000,America/New_York,EST
,,,,,
time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,,
1/01/2016,6,0.7,3.4,,
2/01/2016,4.1,-0.7,1.4,,
3/01/2016,6.5,0.2,2.6,,
4/01/2016,0.4,-8.2,-2.4,,
5/01/2016,-1.7,-9.8,-5.9,,
6/01/2016,3.2,-5.3,-1.8,,
7/01/2016,5.4,-4.4,0.6,,
8/01/2016,6.3,-0.3,3.1,,
9/01/2016,9,3.2,6.4,,
10/01/2016,13.7,3.7,10.5,,
11/01/2016,2.7,-2.9,-0.1,,
12/01/2016,5.8,-5,0,,
13/01/2016,-1.6,-4.6,-3.4,,
14/01/2016,2.5,-5.4,-1.6,,
15/01/2016,8.8,0.2,4.5,,
16/01/2016,9.8,3.6,5.8,,
17/01/2016,3.9,-1.7,0.7,,
18/01/2016,-1.9,-6.9,-4,,
19/01/2016,-2.4,-8.3,-5.6,,
20/01/2016,2.5,-4,-1.4,,
21/01/2016,2,-3.8,-1.6,,
22/01/2016,-1.3,-5.8,-3.3,,
23/01/2016,-2.2,-3.9,-2.8,,
24/01/2016,-2.3,-8.1,-5.2,,
25/01/2016,-1.1,-8.6,-5,,
26/01/2016,5.1,-1.9,2.4,,
27/01/2016,3.6,-3.4,1.3,,
28/01/2016,2.2,-7,-2.7,,
29/01/2016,3.2,-6.8,-1.1,,
30/01/2016,1,-7.2,-2.1,,
31/01/2016,5.9,-1,2.3,,
1/02/2016,10.2,2.2,5.7,,
2/02/2016,8.5,-3.7,2,,
3/02/2016,12.5,1.1,9,,
4/02/2016,12,5.7,10,,
5/02/2016,4.4,-3.1,0.8,,
6/02/2016,2.2,-5.5,-1.5,,
7/02/2016,3.8,-4.5,0.4,,
8/02/2016,1.5,-3.3,-0.5,,
9/02/2016,0.4,-3.7,-2,,
10/02/2016,3.1,-2.4,0.2,,
11/02/2016,-2.5,-7.8,-4.8,,
12/02/2016,-4.5,-10.2,-7.1,,
13/02/2016,-6.7,-15.6,-9.7,,
14/02/2016,-9.8,-18.6,-14,,
15/02/2016,6.2,-10.4,-3.2,,
16/02/2016,11.7,0.7,8.3,,
17/02/2016,6.2,-0.9,1.8,,
18/02/2016,1.4,-3.7,-1.2,,
19/02/2016,2.4,-5.7,-1.2,,
20/02/2016,14.4,3,8.1,,
21/02/2016,11,2.9,7,,
22/02/2016,9.1,-0.3,3.7,,
23/02/2016,5.3,0.4,2.5,,
24/02/2016,13.6,3,8.6,,
25/02/2016,13.7,3.3,8.4,,
26/02/2016,3.1,-2.5,0.8,,
27/02/2016,4.2,-3.6,0.1,,
28/02/2016,13.6,0.7,6.2,,
29/02/2016,13.5,6.1,9.3,,
1/03/2016,9.4,2.2,5.6,,
2/03/2016,11.2,-1.6,5.5,,
3/03/2016,1.8,-3.2,-0.6,,
4/03/2016,2.3,-1.4,0.3,,
