latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.597538,-74.08771,53.0,-18000,America/New_York,EST

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C)
2016-01-01,6.0,0.4,3.2
2016-01-02,4.2,-1.1,1.2
2016-01-03,6.5,-0.6,2.1
2016-01-04,-0.3,-8.3,-2.6
2016-01-05,-1.5,-10.1,-6.2
2016-01-06,3.2,-6.4,-2.7
2016-01-07,5.3,-5.2,-0.2
2016-01-08,5.9,-1.1,2.3
2016-01-09,8.6,2.7,5.8
2016-01-10,13.9,3.3,10.4
2016-01-11,2.2,-3.7,-0.4
2016-01-12,5.6,-5.6,-0.6
2016-01-13,-1.7,-5.0,-3.6
2016-01-14,2.8,-5.3,-1.1
2016-01-15,8.5,-0.1,4.2
2016-01-16,9.9,3.0,5.5
2016-01-17,3.6,-2.7,0.4
2016-01-18,-1.1,-7.2,-3.8
2016-01-19,-2.4,-9.0,-5.8
2016-01-20,2.6,-4.5,-1.8
2016-01-21,2.1,-3.9,-1.8
2016-01-22,-1.6,-6.2,-3.7
2016-01-23,-2.7,-4.9,-3.7
2016-01-24,-1.0,-8.2,-4.8
2016-01-25,0.4,-8.5,-4.0
2016-01-26,5.0,-1.6,1.7
2016-01-27,3.5,-3.4,1.1
2016-01-28,2.1,-9.5,-3.3
2016-01-29,2.9,-5.5,-1.5
2016-01-30,1.3,-7.1,-2.6
2016-01-31,4.4,-1.2,1.6
2016-02-01,6.5,1.3,4.2
2016-02-02,8.5,-1.2,1.9
2016-02-03,12.2,-0.6,7.7
2016-02-04,11.8,5.8,9.4
2016-02-05,4.3,-2.7,1.2
2016-02-06,4.0,-4.2,-0.5
2016-02-07,6.6,-3.8,1.2
2016-02-08,1.4,-2.8,0.1
2016-02-09,0.9,-3.4,-1.4
2016-02-10,3.9,-2.1,0.5
2016-02-11,-2.2,-5.7,-3.9
2016-02-12,-3.1,-10.5,-6.1
2016-02-13,-5.9,-14.7,-8.7
2016-02-14,-8.5,-17.7,-12.8
2016-02-15,4.4,-10.4,-3.7
2016-02-16,12.0,-0.1,7.6
2016-02-17,5.2,-1.5,1.7
2016-02-18,1.6,-2.7,-0.5
2016-02-19,1.9,-6.6,-1.3
2016-02-20,14.7,2.5,7.9
2016-02-21,11.8,1.8,7.0
2016-02-22,9.5,-0.8,3.9
2016-02-23,5.1,-0.0,2.2
2016-02-24,14.4,2.7,8.8
2016-02-25,14.6,3.1,8.4
2016-02-26,3.6,-2.3,1.0
2016-02-27,4.5,-4.6,0.0
2016-02-28,14.4,0.3,6.5
2016-02-29,13.9,6.2,9.6
2016-03-01,9.7,2.1,5.9
2016-03-02,11.9,-1.3,5.6
2016-03-03,2.2,-3.4,-0.4
2016-03-04,2.3,-1.4,0.3
2016-03-05,3.7,-2.9,0.3
2016-03-06,5.6,-3.7,1.5
2016-03-07,13.9,-0.7,6.1
2016-03-08,16.5,3.0,9.0
2016-03-09,23.5,3.9,13.7
2016-03-10,24.4,11.8,17.6
2016-03-11,16.7,6.8,13.2
2016-03-12,15.3,1.6,8.7
2016-03-13,14.4,7.0,10.5
2016-03-14,8.6,5.5,6.7
2016-03-15,11.8,6.3,8.3
2016-03-16,16.2,5.2,9.8
2016-03-17,15.1,3.5,10.0
2016-03-18,13.2,5.3,9.3
2016-03-19,7.2,0.8,4.6
2016-03-20,4.4,0.1,2.1
2016-03-21,9.0,0.3,4.0
2016-03-22,12.7,-0.5,5.9
2016-03-23,19.8,7.5,12.7
2016-03-24,13.6,5.0,8.8
2016-03-25,21.7,8.8,15.5
2016-03-26,10.5,2.6,6.4
2016-03-27,10.0,4.2,6.7
2016-03-28,15.0,6.0,9.3
2016-03-29,11.0,3.3,7.4
2016-03-30,12.3,-0.8,6.1
2016-03-31,21.1,6.5,14.4
2016-04-01,23.6,15.0,18.1
2016-04-02,13.9,8.3,11.2
2016-04-03,8.1,1.1,3.8
2016-04-04,11.8,0.1,5.6
2016-04-05,4.8,-3.4,0.6
2016-04-06,8.5,-3.5,3.6
2016-04-07,13.7,8.3,11.0
2016-04-08,9.1,4.0,7.0
2016-04-09,5.8,1.2,3.3
2016-04-10,9.1,-1.0,4.1
2016-04-11,16.5,4.1,9.9
2016-04-12,13.3,5.3,10.7
2016-04-13,11.5,1.6,6.6
2016-04-14,13.8,1.8,7.6
2016-04-15,14.8,1.5,8.7
2016-04-16,16.8,2.7,9.4
2016-04-17,20.2,2.6,11.1
2016-04-18,24.1,5.6,15.1
2016-04-19,20.2,10.7,15.0
2016-04-20,17.9,7.7,12.0
2016-04-21,21.6,5.8,14.1
2016-04-22,25.5,12.1,18.3
2016-04-23,19.9,11.6,16.3
2016-04-24,18.1,7.7,12.6
2016-04-25,19.8,7.4,13.8
2016-04-26,25.4,8.9,14.9
2016-04-27,14.0,7.9,10.5
2016-04-28,13.1,7.4,9.2
2016-04-29,11.4,7.4,8.9
2016-04-30,15.1,7.3,10.3
2016-05-01,10.0,8.5,9.1
2016-05-02,15.3,7.9,11.4
2016-05-03,12.1,9.8,11.1
2016-05-04,10.7,8.4,9.5
2016-05-05,12.1,7.7,9.7
2016-05-06,11.2,8.5,9.6
2016-05-07,15.1,8.9,11.2
2016-05-08,17.4,8.3,12.2
2016-05-09,21.0,7.9,14.3
2016-05-10,15.3,6.9,11.6
2016-05-11,21.5,7.0,15.0
2016-05-12,23.2,8.6,16.3
2016-05-13,17.8,11.5,15.3
2016-05-14,21.4,11.0,16.5
2016-05-15,13.3,8.0,11.1
2016-05-16,18.0,5.2,11.0
2016-05-17,17.1,9.5,12.3
2016-05-18,17.9,9.0,13.2
2016-05-19,20.1,10.7,15.0
2016-05-20,23.1,9.9,16.7
2016-05-21,15.5,10.4,13.9
2016-05-22,18.9,11.1,14.4
2016-05-23,22.8,10.3,16.5
2016-05-24,23.6,14.0,17.3
2016-05-25,29.8,12.2,21.6
2016-05-26,30.7,16.9,23.8
2016-05-27,30.1,19.0,24.2
2016-05-28,31.3,20.2,25.4
2016-05-29,29.9,20.3,24.1
2016-05-30,26.6,19.7,22.6
2016-05-31,28.3,20.4,23.5
2016-06-01,26.6,16.8,21.8
2016-06-02,22.6,15.5,18.6
2016-06-03,20.2,16.6,18.2
2016-06-04,26.6,17.9,21.8
2016-06-05,23.0,18.3,20.5
2016-06-06,27.7,18.3,23.0
2016-06-07,28.0,18.8,23.2
2016-06-08,20.1,12.7,16.4
2016-06-09,22.2,12.1,16.8
2016-06-10,23.9,12.9,18.1
2016-06-11,30.2,11.7,22.0
2016-06-12,27.3,15.8,23.4
2016-06-13,24.0,13.9,18.7
2016-06-14,26.2,14.0,20.1
2016-06-15,28.9,14.0,22.5
2016-06-16,23.1,17.8,20.9
2016-06-17,25.1,15.3,20.0
2016-06-18,28.7,13.0,21.6
2016-06-19,30.1,18.2,22.8
2016-06-20,29.2,16.1,23.5
2016-06-21,31.1,21.0,25.4
2016-06-22,30.0,18.8,24.0
2016-06-23,27.4,18.3,22.7
2016-06-24,26.0,18.5,22.0
2016-06-25,27.2,17.4,22.0
2016-06-26,29.3,17.0,23.0
2016-06-27,28.2,16.9,22.7
2016-06-28,23.5,20.4,21.8
2016-06-29,28.0,20.3,23.8
2016-06-30,28.6,18.8,23.8
2016-07-01,26.6,20.1,23.3
2016-07-02,25.6,18.7,22.0
2016-07-03,27.0,16.4,22.3
2016-07-04,28.3,17.9,22.7
2016-07-05,30.0,20.1,24.8
2016-07-06,32.2,21.5,27.6
2016-07-07,32.7,23.4,27.9
2016-07-08,30.5,20.2,24.9
2016-07-09,23.3,19.7,20.9
2016-07-10,26.9,19.2,22.9
2016-07-11,25.5,18.0,21.8
2016-07-12,27.3,18.3,22.8
2016-07-13,28.8,20.1,24.3
2016-07-14,31.6,22.8,26.3
2016-07-15,32.2,23.7,28.0
2016-07-16,31.8,22.8,26.4
2016-07-17,32.1,22.6,27.2
2016-07-18,34.1,23.3,27.5
2016-07-19,28.6,20.4,25.0
2016-07-20,28.5,19.1,23.6
2016-07-21,31.1,20.0,25.6
2016-07-22,34.8,22.0,28.3
2016-07-23,34.4,24.5,29.6
2016-07-24,33.2,20.5,27.4
2016-07-25,33.9,23.2,27.0
